,Import Type,Season Stakes*,Total Stakes*,No. of 1-2-3-Starts*,No. of starts in past 10race meetings,Current Stable Location(Arrival Date),Import Date,Trainer,Owner,Current Rating,Start ofSeason Rating,Sire,Dam,Dam's Sire,Same Sire,name,Country of Origin,Age,Colour,Sex,PP Pre-import races footage
390,PP,"$502,200","$502,200",0-1-0-2,2,Hong Kong(29/02/2024),14/10/2023,P F Yiu,Bunny Chan Chung Bun,67,66,Churchill,Polly Perkins,Pivotal,J406 ENCOUNTERED ENCOURAGER ENSHINE FAIRY HORSE INVINCIBLE DELIGHT KA YING GENERATION MAJESTIC SPEED SMASHING EXPRESS SNAFFLES WAH MAY WAI WAI,2023_J188,IRE,4,Bay,Gelding,
391,PPG,"$3,263,550","$3,263,550",3-1-1-6,1,Hong Kong(26/06/2023),26/06/2023,C S Shum,Yip Kong Wah,80,52,Press Statement,Hollywell,Refuse To Bend,ACT OF FAITH ALL IS GOOD MILES OF STAR WINDICATOR FAMILY YOHOHO YOUNG SUPERSTAR,2023_J008,AUS,3,Bay,Gelding,
392,PP,$0,$0,0-0-0-7,0,Conghua(13/03/2024),10/05/2022,A S Cruz,DBS Goodban Syndicate,51,57,Setembro Chove,Veramente Bella,Leroidesanimaux,SUPREME AGILITY,2021_G432,BRZ,5,Bay,Gelding,
393,PPG,"$245,700","$2,164,625",2-0-4-25,1,Conghua(25/03/2024),14/07/2021,F C Lor,Hui Yuk Hon & Ken Hui Chi Kit,46,59,Deep Field,Reggae,Danehill,J423 J427 ADEFILL ALMIGHTY KICK BLAZING WIND BOOMBAYAH CALIFORNIA DEEPLY CALIFORNIA ICON CALIFORNIA TOUCH CHEER FOR SOUTH CIRCUIT MAXIMUS CIRCUIT SEVEN DAN ATTACK DEEP PURSUIT DENFIELD DIAMOND FLARE DIAMOND SOARS DRACO DRALA DURHAM STAR EVERYONE'S VICTORY FALCON COURT FASHION LEGEND GALLANT GOODY HAYDAY HINOKAMI KAGURA HOWDEEPISYOURLOVE HYPER DRAGON BALL JOY OF SPRING LIFE OF STONE LUCKY ARCHANGEL MASTER MASTERMIND MORE RICE MUGEN NOBLE ONE NOBLE WIN PACKING BOLE PACKING BRILLIANT PARENTS' LOVE ROBOT KNIGHT RUN RUN TIMING SELF IMPROVEMENT SPLENDID STAR SPONGE BABE SPORTS LEGEND SUGAR BALL SUPER ELITE SUPER GLORY SUPER HIGHWAY SUPREME LUCKY TEAM HAPPY THE GOLDEN SCENERY THE GOOD DEAL VIGOR ELLEEGANT VIVA GRACIOUSNESS VOYAGE BUBBLE WINNING MONEY YEE CHEONG RAIDER YOO YOO KNIGHT YOUTHFUL DEAL,2021_G051,AUS,5,Bay,Gelding,
394,PP,"$1,069,500","$10,067,675",5-4-3-44,2,Hong Kong(04/04/2024),12/11/2019,W Y So,Charley Chan Wing Chin & Sunny Cheung Chi Cheong,67,75,Written Tycoon,Show Affection,Show A Heart,J404 J412 J413 CHARITY FOR ALL EASON FANTASTIC TREASURE FLYING LUCK GOLDEN RISE KA YING WARRIOR MERCHANT PRINCE NEVER TOO SOON ORIENTAL TYCOON PATCH OF TIME RIVER VIEWS RUN RUN COOL SING DRAGON TOMODACHI KOKOROE WIND SPEEDER,2019_D278,AUS,7,Chestnut,Gelding,
395,PPG,"$157,950","$157,950",0-0-1-5,1,Hong Kong(27/07/2023),27/07/2023,T P Yung,So Kai Sing,50,52,Savabeel,Doubtless Princess,Not A Single Doubt,J418 COURIER MAGIC DUBLIN STAR GOOD GOOD KASA PAPA M UNICORN NOBLE PURSUIT ON THE LASH ROMANTIC CHARM SUPER UNICORN,2023_J049,NZ,4,Bay,Gelding,
396,PPG,$0,$0,0-0-0-0,0,Conghua(27/12/2023),09/11/2023,P C Ng,Felicia Kathy Louey,52,52,El Roca,Isoletta,Savabeel,BULLISH WARRIOR CIRCUIT MIGHTY EIGHTEEN PALMS MR GOOD VIBES VIVA HUNTER,2023_J235,NZ,3,Bay,Gelding,
397,PPG,$0,$0,0-0-0-0,0,Conghua(19/02/2024),19/10/2023,M Newnham,William Chau Chun Wing,52,52,All Too Hard,Star Of Darwin,Northern Meteor,J342 ALL BEAUTY BEAU CADEAU BOWSER BRAVE JOY BUNDLE OF CHARM CONTI CONTI JOLLY COMPANION KEEFY MUST GO PATCH OF STARS VICTORYTHIRTYTHREE,2023_J198,AUS,3,Brown,Gelding,
398,PPG,"$2,905,800","$3,759,000",3-4-0-10,1,Hong Kong(02/04/2024),11/10/2022,P F Yiu,Green and White Racing Syndicate,76,60,Smart Missile,Twin Star Rocket,Bel Esprit,J366 BEAUTY MISSILE COMMANDING MISSILE CRAZY TREASURE GENERAL WINNER GRAND CONQUEROR HIGH RISE POWER INVINCIBLE MISSILE LAPRAS MIDORI BURLY MISSION BRAVO SPEED SWORD TSUEN WAN GLORY YOUNG VICTORY,2022_H186,AUS,4,Brown,Gelding,
399,PP,"$65,100","$65,100",0-0-0-2,1,Hong Kong(09/09/2023),09/09/2023,W Y So,Connie Siu Kim Ying,75,77,Havana Grey,Foxcatcher,Foxwedge,KAHOLO ANGEL LEAN MASTER REWARD SMILE,2023_J124,GB,4,Grey,Gelding,
